Location[0]	Station-No.[1]	GeoX[2]	GeoY[3]	North[4]	East[5]	VehicleCount[6]	OpenParkingSpots (used only for onewaycarsharing)[7]	
1824	1824	4591541.213847237	5822679.752044508	-	-	1	
813	813	4590395.73517166	5818136.381288444	-	-	1	
2531	2531	4602645.872383449	5813544.690486641	-	-	1	
6962	6962	4590454.220336281	5817706.874193038	-	-	1	
12013	12013	4595677.043218085	5831111.137907004	-	-	1	
8279	8279	4607948.599290018	5821904.956179536	-	-	1	
11482	11482	4595084.873213262	5810808.4987907065	-	-	1	
4817	4817	4589082.161022899	5816596.475324735	-	-	1	
1895	1895	4596600.12112109	5833009.377198528	-	-	1	
10633	10633	4607181.560524448	5813797.753201639	-	-	1	
10618	10618	4578303.6013255445	5815208.489903816	-	-	1	
9583	9583	4606481.978506136	5812716.613486535	-	-	1	
8142	8142	4589200.542675827	5817550.824200203	-	-	1	
9687	9687	4621613.7452471955	5766928.143595317	-	-	1	
1550	1550	4600743.1386616165	5808604.803627481	-	-	1	
3958	3958	4619992.52256139	5812911.94606091	-	-	1	
3208	3208	4568104.634263973	5813656.77333914	-	-	1	
9141	9141	4598461.137533031	5816644.086861698	-	-	1	
9434	9434	4596075.215851477	5818258.406727575	-	-	1	
1027	1027	4584201.933997446	5815550.004520772	-	-	1	
6819	6819	4586306.7494807085	5811956.944990264	-	-	1	
7587	7587	4589223.026559069	5816017.121257437	-	-	1	
11094	11094	4602469.721195421	5827034.909955072	-	-	1	
7937	7937	4592175.974824412	5822220.908447003	-	-	1	
10047	10047	4606391.678337222	5804339.637416166	-	-	1	
11334	11334	4587530.746277405	5820434.098814437	-	-	1	
4546	4546	4577614.982321208	5785984.192510367	-	-	1	
3754	3754	4579274.206405058	5841138.603073733	-	-	1	
3389	3389	4583968.041069768	5837110.254910094	-	-	1	
3767	3767	4641747.6898134565	5721722.861365737	-	-	1	
2419	2419	4608986.83570126	5823864.006332838	-	-	1	
7697	7697	4597231.149204299	5830216.162527108	-	-	1	
4483	4483	4592464.327456159	5793569.563094498	-	-	1	
2652	2652	4607068.96800434	5826459.136482286	-	-	1	
1929	1929	4595691.562142103	5819471.909950438	-	-	1	
2656	2656	4589734.401830382	5827803.650814142	-	-	1	
54	54	4610571.183650266	5809081.915287936	-	-	1	
7282	7282	4603374.295627557	5836754.354098802	-	-	1	
7675	7675	4580452.844825599	5815463.26787578	-	-	1	
3677	3677	4590533.018654274	5846964.5174187245	-	-	1	
11447	11447	4603516.003556891	5819968.126835612	-	-	1	
7051	7051	4589343.005581898	5819998.937475177	-	-	1	
1473	1473	4563463.089386842	5841380.514523289	-	-	1	
6546	6546	4603914.834356428	5828354.207307899	-	-	1	
10704	10704	4581315.587689847	5811327.836294987	-	-	1	
7363	7363	4598037.636021291	5819955.785759329	-	-	1	
835	835	4594643.136767341	5826917.232872298	-	-	1	
5902	5902	4605045.155480795	5827385.492651272	-	-	1	
11733	11733	4599590.663530326	5823986.252285389	-	-	1	
4074	4074	4584119.977277355	5808956.35255093	-	-	1	
2230	2230	4584368.793775006	5811505.343942529	-	-	1	
6903	6903	4605145.868308287	5836414.150502135	-	-	1	
5709	5709	4599752.010249489	5824713.699984904	-	-	1	
8069	8069	4606872.754475278	5812260.347294937	-	-	1	
9560	9560	4587644.871723625	5820346.555674561	-	-	1	
10009	10009	4584388.141903919	5822235.209859248	-	-	1	
6578	6578	4604420.702585128	5837357.419398458	-	-	1	
8231	8231	4589812.145172752	5826464.797710046	-	-	1	
6264	6264	4576174.826525062	5821680.139910365	-	-	1	
6111	6111	4599873.572757749	5818249.041037077	-	-	1	
5169	5169	4591389.347978247	5816186.710501709	-	-	1	
2990	2990	4619703.170493909	5824702.630813991	-	-	1	
6800	6800	4588286.946840874	5833902.542803033	-	-	1	
3042	3042	4613005.370667689	5826660.838096359	-	-	1	
10112	10112	4607069.072178456	5809215.085965239	-	-	1	
2803	2803	4584917.095833278	5824672.972513818	-	-	1	
2764	2764	4602586.344083883	5824070.587506468	-	-	1	
1246	1246	4600736.047038299	5823493.5154411	-	-	1	
6354	6354	4595181.711767238	5823724.873349924	-	-	1	
11259	11259	4606681.562501823	5802532.18489543	-	-	1	
7091	7091	4598244.719472189	5817938.965583515	-	-	1	
487	487	4578147.570742803	5829330.669787674	-	-	1	
2626	2626	4588232.7831789665	5820023.226188225	-	-	1	
9782	9782	4614712.448689341	5808863.689540118	-	-	1	
628	628	4590541.559867101	5817925.669354783	-	-	1	
5471	5471	4606471.472999196	5812034.996853901	-	-	1	
3636	3636	4569986.89139487	5842430.174165789	-	-	1	
10756	10756	4596787.860544583	5809798.487456999	-	-	1	
4665	4665	4599270.441384781	5825978.2415648885	-	-	1	
3381	3381	4579471.839140687	5831601.066564093	-	-	1	
7624	7624	4606276.368707389	5814747.459446205	-	-	1	
1501	1501	4596462.922067129	5831173.194429474	-	-	1	
6172	6172	4600997.414354737	5820099.874218277	-	-	1	
8104	8104	4598125.609135669	5820078.32297832	-	-	1	
4519	4519	4601868.764792812	5797262.760970038	-	-	1	
9929	9929	4592977.219644784	5830539.756807541	-	-	1	
9840	9840	4598845.1774772955	5817035.664524212	-	-	1	
5820	5820	4602147.808215345	5824987.556970149	-	-	1	
2356	2356	4603523.016011204	5825532.271724476	-	-	1	
10971	10971	4592912.163866855	5820210.24953686	-	-	1	
9689	9689	4597097.707004805	5832813.75732718	-	-	1	
2455	2455	4597442.740777709	5815906.006040577	-	-	1	
7942	7942	4590829.407073686	5812087.738154959	-	-	1	
8363	8363	4579217.248570085	5821381.990477663	-	-	1	
3320	3320	4589428.801784445	5834025.0448882785	-	-	1	
2479	2479	4609120.5831780825	5820708.521893779	-	-	1	
9857	9857	4591389.505489719	5819778.659078021	-	-	1	
9561	9561	4587580.076736089	5816960.48914084	-	-	1	
282	282	4600601.483170539	5823348.783235461	-	-	1	
2645	2645	4601111.041079843	5821852.3994024005	-	-	1	
4777	4777	4591786.606030474	5830818.513912191	-	-	1	
8537	8537	4591974.858405349	5812323.246685849	-	-	1	
4045	4045	4565916.425989496	5818281.313931717	-	-	1	
797	797	4613068.811255604	5806135.918476073	-	-	1	
5567	5567	4596420.802162952	5822999.320340609	-	-	1	
10645	10645	4595851.958464515	5812257.506057961	-	-	1	
8940	8940	4624221.727205363	5793385.959451863	-	-	1	
4390	4390	4595827.30859004	5804197.188810628	-	-	1	
9347	9347	4599607.038907249	5816057.4722338645	-	-	1	
2124	2124	4595109.256966366	5823222.266209278	-	-	1	
7547	7547	4598723.634176529	5821772.2078688815	-	-	1	
10817	10817	4597232.527455955	5816116.73633993	-	-	1	
7292	7292	4602664.241808423	5820810.428835745	-	-	1	
10642	10642	4588543.567751805	5828700.695914888	-	-	1	
2843	2843	4609018.197125924	5813952.121527031	-	-	1	
3097	3097	4617012.646609023	5823498.4012911385	-	-	1	
8518	8518	4600355.342738073	5816943.532815666	-	-	1	
10040	10040	4604996.685262239	5821340.283825331	-	-	1	
6336	6336	4617074.792590402	5812861.252026157	-	-	1	
46	46	4591601.973204352	5831124.538627559	-	-	1	
1484	1484	4608352.496662779	5811492.693682194	-	-	1	
3943	3943	4644153.886291324	5774909.886979225	-	-	1	
8895	8895	4620394.471587879	5793908.455202899	-	-	1	
2762	2762	4595263.519116117	5809926.626972067	-	-	1	
8402	8402	4604390.012546163	5820417.321596124	-	-	1	
6378	6378	4581504.3514914345	5820383.283024024	-	-	1	
239	239	4589463.04604811	5817993.315747618	-	-	1	
11107	11107	4596998.02799469	5832997.345304542	-	-	1	
2751	2751	4583423.745428868	5832248.269583225	-	-	1	
3470	3470	4590248.73168991	5839694.0353271365	-	-	1	
6093	6093	4605647.780604936	5825100.092627571	-	-	1	
1168	1168	4581936.792289852	5831241.9356095875	-	-	1	
9304	9304	4591603.854433044	5824255.327925431	-	-	1	
7704	7704	4588310.755086609	5820189.816979557	-	-	1	
3604	3604	4588744.183304169	5835975.508698495	-	-	1	
11361	11361	4620223.167953627	5735532.9532417385	-	-	1	
1515	1515	4594335.08571698	5827300.81734423	-	-	1	
4721	4721	4601844.033454946	5811796.530219767	-	-	1	
5928	5928	4593277.853416027	5828876.914416424	-	-	1	
2748	2748	4598220.853293925	5823540.74815361	-	-	1	
2736	2736	4588626.897648202	5816538.704038463	-	-	1	
7861	7861	4573863.826331425	5807912.055059239	-	-	1	
11966	11966	4595659.174658233	5823892.260230839	-	-	1	
11449	11449	4596326.484747342	5824385.646039176	-	-	1	
3883	3883	4637421.291388044	5803911.352980597	-	-	1	
11412	11412	4573395.723688776	5723972.312106973	-	-	1	
7169	7169	4595996.353450452	5810313.624298548	-	-	1	
8327	8327	4624885.649102092	5836449.993041192	-	-	1	
1595	1595	4588089.995224919	5817095.814958491	-	-	1	
1910	1910	4606485.055823126	5813380.273406773	-	-	1	
11090	11090	4587891.115109629	5821232.26769943	-	-	1	
8764	8764	4589145.374959611	5814766.033823087	-	-	1	
8474	8474	4601837.58426817	5817918.711213762	-	-	1	
9101	9101	4589762.547567087	5818152.23172603	-	-	1	
10659	10659	4590011.325415464	5819929.502082271	-	-	1	
2243	2243	4601277.577310514	5821113.640268881	-	-	1	
6146	6146	4588202.754100341	5822116.080655608	-	-	1	
97	97	4596566.87508035	5824169.330196734	-	-	1	
3613	3613	4595025.3049589535	5836265.77697174	-	-	1	
11890	11890	4596035.841936055	5831447.689695556	-	-	1	
2066	2066	4580190.51954161	5824013.148079052	-	-	1	
9808	9808	4585595.043853109	5821940.3811513325	-	-	1	
4148	4148	4565816.387450913	5800709.78390221	-	-	1	
2506	2506	4602873.724804514	5828289.837979372	-	-	1	
4024	4024	4557569.266601788	5792394.20252516	-	-	1	
1672	1672	4589346.69708302	5818193.274888068	-	-	1	
8792	8792	4590061.846336052	5826562.200829944	-	-	1	
2955	2955	4573241.036478844	5804152.025172359	-	-	1	
4965	4965	4593168.498764467	5823254.209356725	-	-	1	
11942	11942	4587935.2202183865	5828789.528532247	-	-	1	
2646	2646	4599085.228175494	5822623.200283787	-	-	1	
5288	5288	4589474.240728734	5826172.798754225	-	-	1	
7656	7656	4585567.269527451	5811925.053546959	-	-	1	
12094	12094	4587923.700223809	5822049.083734405	-	-	1	
6734	6734	4598915.803054907	5821836.80618048	-	-	1	
11500	11500	4594836.856950855	5818042.216032988	-	-	1	
8326	8326	4598940.805975048	5835050.214618586	-	-	1	
1986	1986	4609506.193697207	5814165.743297633	-	-	1	
4805	4805	4588393.699845056	5810714.037569206	-	-	1	
10247	10247	4597005.36200573	5819714.673226527	-	-	1	
5864	5864	4605540.104636695	5844712.218816441	-	-	1	
4494	4494	4582880.643987085	5797037.698977235	-	-	1	
12168	12168	4588907.191409483	5830973.242760269	-	-	1	
1262	1262	4594430.193293961	5826467.213193198	-	-	1	
10869	10869	4612857.732706666	5805605.820017808	-	-	1	
710	710	4599687.602012504	5823038.157552718	-	-	1	
8643	8643	4595584.059818026	5811160.165884895	-	-	1	
6850	6850	4605340.18673033	5835182.762725672	-	-	1	
11071	11071	4596572.352196218	5832970.451790928	-	-	1	
3388	3388	4583821.771059914	5835590.503795527	-	-	1	
11390	11390	4600946.776841347	5831801.431708572	-	-	1	
6044	6044	4596868.421180318	5823893.969937473	-	-	1	
980	980	4599119.874167299	5821462.887295717	-	-	1	
6612	6612	4603876.089405969	5837912.042952269	-	-	1	
11788	11788	4594610.470793792	5822722.381886602	-	-	1	
4716	4716	4597719.6757263765	5820533.297210617	-	-	1	
8038	8038	4596862.391373199	5823033.957825	-	-	1	
5315	5315	4600671.634362112	5820490.176189263	-	-	1	
4789	4789	4601621.73725561	5813624.150210586	-	-	1	
2693	2693	4587038.230291676	5821298.892263742	-	-	1	
2305	2305	4588141.972410913	5820643.550300574	-	-	1	
8616	8616	4576328.768994144	5822227.2170387115	-	-	1	
5449	5449	4598702.044673239	5812176.490959731	-	-	1	
11183	11183	4578596.620527113	5825647.223106168	-	-	1	
6596	6596	4603315.00732212	5820215.08531941	-	-	1	
4564	4564	4607513.739800917	5787653.026672978	-	-	1	
1906	1906	4594247.411299227	5826453.25537376	-	-	1	
7981	7981	4601707.590581715	5815222.770759749	-	-	1	
7701	7701	4596545.252588063	5823335.872522531	-	-	1	
3875	3875	4574696.316295566	5817177.656492946	-	-	1	
6505	6505	4581398.660601038	5822426.913362022	-	-	1	
6618	6618	4592599.653284338	5825389.005844079	-	-	1	
4995	4995	4612865.07842217	5826854.021608996	-	-	1	
4221	4221	4587316.542388612	5809025.270823432	-	-	1	
5948	5948	4589694.428406318	5821574.206761222	-	-	1	
9739	9739	4595383.376871628	5814851.453461919	-	-	1	
694	694	4604640.684325676	5811853.326655187	-	-	1	
71	71	4608425.834861617	5814169.170821757	-	-	1	
10401	10401	4577585.477297103	5816027.125484436	-	-	1	
7721	7721	4580794.439234642	5815702.992983709	-	-	1	
7817	7817	4593951.711862387	5820170.061975148	-	-	1	
11493	11493	4602765.247003201	5820441.078134155	-	-	1	
